% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=795636, Mon May  4 20:58:08 2020, <python>{}</python>
1 16 9.478175534978682 1.0000492199612625 1.3125 1.3125000000000000e+00 5.0 9.4375   
2 32 9.115705287618107 1.0280628764601945 1.3125 1.4375000000000000e+00 2.5625 8.3125   
3 48 8.83925944057712 1.0365108275858663 1.125 1.1250000000000000e+00 2.5 8.375   
4 64 8.627933706312756 1.0387758186471499 1.125 1.1250000000000000e+00 4.5 8.3125   
5 80 8.486213167372897 1.0457697506794443 1.0 1.0000000000000000e+00 2.5625 8.3125   
6 96 8.366609574047862 1.0518748945520773 1.0 1.1250000000000000e+00 1.625 8.3125   
7 112 8.325537983171786 1.060204902533014 0.875 8.7500000000000000e-01 1.5625 3.625   
8 128 8.376822943156789 1.0682946581610802 0.625 6.2500000000000000e-01 1.375 5.5   
9 144 8.371447170947294 1.080784291767836 0.625 9.3750000000000000e-01 1.3125 4.3125   
10 160 8.331737121211914 1.0896456804795884 0.625 1.3125000000000000e+00 1.5 7.375   
11 176 8.276754118085288 1.0993479763055005 0.625 1.0625000000000000e+00 1.625 4.0625   
12 192 8.162011794917962 1.109919172536672 0.625 8.1250000000000000e-01 1.5 4.0625   
13 208 8.055367913935045 1.1182614686411423 0.625 8.7500000000000000e-01 1.375 3.1875   
14 224 7.923585219376372 1.1252076544644465 0.625 8.7500000000000000e-01 1.3125 5.75   
15 240 7.799868063817914 1.1310247398355462 0.625 1.0000000000000000e+00 1.5625 7.0625   
16 256 7.716305203269144 1.1363820413338048 0.625 6.8750000000000000e-01 1.375 4.5625   
17 272 7.658756811410337 1.1415248582370765 0.625 6.2500000000000000e-01 1.4375 4.0   
18 288 7.603763228509583 1.147915390445021 0.625 9.3750000000000000e-01 1.75 5.125   
19 304 7.603951499392847 1.1531191732179298 0.625 8.7500000000000000e-01 1.5625 3.25   
20 320 7.60852455365433 1.1575735183811549 0.5625 5.6250000000000000e-01 1.625 4.0625   
21 336 7.5855923078444585 1.1634878758916636 0.5625 8.1250000000000000e-01 1.125 2.3125   
22 352 7.605671398625651 1.1696326057719153 0.5625 6.8750000000000000e-01 1.625 4.0625   
23 368 7.581420605664769 1.176824783303278 0.5625 8.7500000000000000e-01 1.5625 7.0625   
24 384 7.476634978484763 1.183080219387485 0.5625 8.1250000000000000e-01 1.5625 3.625   
25 400 7.382008949537818 1.1894512603263663 0.5625 7.5000000000000000e-01 1.375 4.5   
26 416 7.311448308206048 1.194657619361942 0.5625 7.5000000000000000e-01 1.625 3.875   
27 432 7.226301874728797 1.2024793898071289 0.5625 1.0000000000000000e+00 1.5625 3.9375   
28 448 7.136059746293634 1.208917856048005 0.5625 7.5000000000000000e-01 1.25 2.125   
29 464 7.069402044181056 1.2162300522091867 0.5625 8.1250000000000000e-01 1.375 2.6875   
30 480 7.033366459838911 1.228296279279552 0.5625 8.7500000000000000e-01 1.375 3.1875   
31 496 6.996576405554162 1.2338215617323507 0.5625 7.5000000000000000e-01 1.375 2.5   
32 512 6.973889296340548 1.238893048880225 0.5625 6.8750000000000000e-01 1.3125 5.75   
33 528 6.97082809065731 1.244198526300548 0.5625 8.7500000000000000e-01 1.375 6.625   
34 544 6.9578371609876 1.250020950896264 0.5625 7.5000000000000000e-01 1.1875 6.625   
35 560 6.926301229212025 1.2551072142923094 0.5625 7.5000000000000000e-01 1.0 5.75   
36 576 6.914172131437064 1.2625332533696885 0.5625 8.1250000000000000e-01 2.1875 6.625   
37 592 6.930672561789038 1.266803270182571 0.5625 7.5000000000000000e-01 1.1875 3.6875   
38 608 6.96063411903728 1.2722209784142915 0.5625 7.5000000000000000e-01 1.25 3.3125   
39 624 6.958963638053829 1.2781171283907693 0.5625 7.5000000000000000e-01 1.1875 1.5   
40 640 6.927266761120213 1.283937699765699 0.5625 7.5000000000000000e-01 1.1875 3.8125   
41 656 6.885670961794997 1.2875366129532895 0.5625 8.7500000000000000e-01 1.1875 3.875   
42 672 6.838821449265523 1.2901156932853812 0.5625 7.5000000000000000e-01 0.9375 5.75   
43 688 6.820672562591723 1.2933683479898153 0.5625 6.8750000000000000e-01 1.0 5.75   
44 704 6.781983594481675 1.2969383303357997 0.5625 6.2500000000000000e-01 1.125 3.5   
45 720 6.80253482871939 1.3014316251427334 0.5625 6.8750000000000000e-01 1.9375 3.6875   
46 736 6.828744449162216 1.3058939421394888 0.5625 6.2500000000000000e-01 1.8125 3.3125   
47 752 6.844464079766172 1.3088854442613507 0.5625 6.2500000000000000e-01 1.125 3.6875   
48 768 6.818035665872497 1.3112864878867734 0.5625 6.8750000000000000e-01 1.25 6.3125   
49 784 6.794658462209544 1.3152081207549065 0.5625 7.5000000000000000e-01 1.375 3.6875   
50 800 6.7460196232977 1.3193458718937596 0.5625 6.2500000000000000e-01 1.125 6.3125   
51 816 6.785890703658166 1.323009324430213 0.5625 8.7500000000000000e-01 1.375 3.375   
52 832 6.833410088055856 1.3249097511592898 0.5625 7.5000000000000000e-01 1.0 1.625   
53 848 6.8138351334223675 1.327476273384133 0.5625 6.8750000000000000e-01 1.0 1.4375   
54 864 6.777263432434382 1.328975052196573 0.5625 6.8750000000000000e-01 1.0 2.0625   
55 880 6.76242654052374 1.3319124373320956 0.5625 6.8750000000000000e-01 1.25 5.75   
56 896 6.7242075115587285 1.332916434628534 0.5625 6.8750000000000000e-01 1.0 5.75   
57 912 6.750538546894561 1.337528228985867 0.5625 6.8750000000000000e-01 1.0625 4.5625   
